x,y
0.018905047,-1.991184468
0.120530368,-1.940208689
0.169461078,-1.914943401
0.214627887,-1.890457219
0.260547476,-1.868085752
0.320017109,-1.833693796
0.365183918,-1.80865111
0.410350727,-1.781938911
0.455517536,-1.756896225
0.500684346,-1.730184026
0.545851155,-1.704028331
0.606073567,-1.664516537
0.651240376,-1.635021817
0.696407186,-1.605527098
0.741573995,-1.574362866
0.794268606,-1.530770042
0.839435415,-1.49700879
0.884602224,-1.458424503
0.922241232,-1.420489471
0.956116339,-1.380476823
0.997519247,-1.336921099
1.035158255,-1.295832543
1.064014827,-1.248807943
1.091616766,-1.204565864
1.129255774,-1.160435085
1.163130881,-1.103115158
1.20560919,-1.049420459
1.249700599,-0.996600266
1.287339607,-0.954083349
1.328742515,-0.913235945
1.370145423,-0.878732688
1.411548332,-0.840148401
1.456715141,-0.809726175
1.50188195,-0.776335926
1.535757057,-0.759084298
1.592215569,-0.724024537
1.637382378,-0.697312338
1.681796407,-0.674050465
1.727715997,-0.653348511
1.772882806,-0.632757857
1.814285714,-0.615283627
1.876013687,-0.591242648
1.923438837,-0.573211914
1.968605646,-0.558186302
2.007499287,-0.545386707
2.073994867,-0.524796054
2.119161677,-0.511996459
2.165081266,-0.500421172
2.217775877,-0.484393853
2.262189906,-0.474154177
2.303592814,-0.466363119
2.351770744,-0.452339215
2.397690334,-0.444659457
2.442857143,-0.434642383
2.488776732,-0.426962626
2.555774166,-0.413495225
2.600940975,-0.405704167
2.648366125,-0.398914817
2.706330197,-0.389565547
2.751497006,-0.381217985
2.785372113,-0.376209448
2.834302823,-0.367861886
2.886997434,-0.362296844
2.932164243,-0.356175299
2.977331052,-0.352836274
